groupId,artifactId,version,classifier,included-log4j-core-version,source
ca.bitcoco,jsk-starter,0.1.7,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.0.1,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.0.2,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.2.2,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.2.0,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.1.8,,2.14.0,directDependency
ca.bitcoco,jsk-starter,0.2.1,,2.14.0,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-16,,2.13.2,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-17,,2.13.2,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-14,,2.13.2,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-15,,2.13.2,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-13,,2.13.2,directDependency
ch.cern,cerndb-sw-zkpolicy,1.0.1-18,,2.13.2,directDependency
ch.racic.testing,test-configuration-manager,0.16.0,,2.2,directDependency
ch.software-atelier,simpleflex-base,2.1.1,,2.12.1,directDependency
ch.software-atelier,simpleflex-base,2.1.2,,2.12.1,directDependency
cloud.localstack,localstack-utils,0.2.13,,2.14.1,directDependency
cloud.localstack,localstack-utils,0.2.14,,2.14.1,directDependency
cloud.localstack,localstack-utils,0.2.12,,2.14.1,directDependency
cloud.localstack,localstack-utils,0.2.15,,2.14.1,directDependency
cloud.localstack,localstack-utils,0.2.11,,2.14.1,directDependency
cloud.metaapi.sdk,metaapi-java-sdk,13.2.0,,2.14.1,directDependency
cn.chenzw.toolkit,toolkit,1.0.3-a,,2.12.0,directDependency
cn.dubby,itbus,0.2.7,,2.6.2,directDependency
cn.ibaijia,jsm-spring-boot-starter,1.3.24,,2.8.2,directDependency
cn.ibaijia,jsm-frame,1.3.24,,2.8.2,directDependency
cn.icanci,snow-stack-spring,1.0.5,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0.3,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0.6,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0.4,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0.2,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0,,2.13.3,directDependency
cn.icanci,snow-stack-spring,1.0.1,,2.13.3,directDependency
cn.icuter,jsql,1.0.2,,2.11.1,directDependency
cn.leancloud,engine-core,7.2.2,,2.13.3,directDependency
cn.leancloud,engine-core,7.1.1,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.1,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.0,,2.8.2,directDependency
cn.leancloud,engine-core,7.0.9,,2.13.3,directDependency
cn.leancloud,engine-core,6.4.7,,2.8.2,directDependency
cn.leancloud,engine-core,6.5.6,,2.8.2,directDependency
cn.leancloud,engine-core,6.5.5,,2.8.2,directDependency
cn.leancloud,engine-core,7.1.0,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.11,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.7,,2.8.2,directDependency
cn.leancloud,engine-core,7.2.0,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.4,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.5,,2.13.3,directDependency
cn.leancloud,engine-core,8.0.2,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.7,,2.13.3,directDependency
cn.leancloud,engine-core,8.0.4,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.7,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.6,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.2,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.14,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.16,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.3,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.10,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.13,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.8,,2.13.3,directDependency
cn.leancloud,engine-core,8.0.1,,2.13.3,directDependency
cn.leancloud,engine-core,7.2.1,,2.13.3,directDependency
cn.leancloud,engine-core,6.4.6,,2.8.2,directDependency
cn.leancloud,engine-core,6.5.12,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.4,,2.8.2,directDependency
cn.leancloud,engine-core,8.0.0,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.15,,2.13.3,directDependency
cn.leancloud,engine-core,8.0.3,,2.13.3,directDependency
cn.leancloud,engine-core,7.0.6,,2.13.3,directDependency
cn.leancloud,engine-core,6.4.5,,2.8.2,directDependency
cn.leancloud,engine-core,6.5.8,,2.8.2,directDependency
cn.leancloud,engine-core,7.1.2,,2.13.3,directDependency
cn.leancloud,engine-core,6.5.1,,2.8.2,directDependency
cn.leancloud,engine-core,6.5.9,,2.8.2,directDependency
cn.safekeeper,safekeeper-common,0.0.1,,2.14.1,directDependency
cn.sj1,tinyasm-core,1.0.2,,2.14.0,directDependency
cn.sj1,tinyasm-tool,1.0.2,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.5,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.6.2,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.6,,2.14.0,directDependency
cn.sj1,tinyasm-core,1.0.4,,2.14.0,directDependency
cn.sj1,tinyasm-tool,1.0.0,,2.14.0,directDependency
cn.sj1,tinyasm-tool,1.0.3,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.6,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.6.2,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.4,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.4.1,,2.14.0,directDependency
cn.sj1,tinyasm-core,1.0.0,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.7,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.6.1,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.6.1,,2.14.0,directDependency
cn.sj1,tinyasm-core,1.0.1,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.5,,2.14.0,directDependency
cn.sj1,tinyasm-core,0.3.7,,2.14.0,directDependency
cn.sj1,tinyasm-tool,1.0.1,,2.14.0,directDependency
cn.sj1,tinyasm-core,1.0.3,,2.14.0,directDependency
cn.sj1,tinyasm-tool,1.0.4,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.4,,2.14.0,directDependency
cn.sj1,tinyasm-tool,0.3.4.1,,2.14.0,directDependency
cn.sj1,tinydb,0.0.1,,2.14.0,directDependency
cn.sliew,milky-common,1.0.0,,2.6.2,directDependency
cn.sliew,milky-test,1.0.2,,2.14.1,directDependency
cn.sliew,milky-test,1.0.1,,2.14.1,directDependency
cn.taketoday,today-context,3.0.0.RELEASE,,2.13.3,directDependency
cn.taketoday,today-context,3.0.2.RELEASE,,2.13.3,directDependency
cn.taketoday,today-context,3.0.4.RELEASE,,2.13.3,directDependency
cn.taketoday,today-context,3.0.5.RELEASE,,2.13.3,directDependency
cn.taketoday,today-context,3.0.3.RELEASE,,2.13.3,directDependency
cn.taketoday,today-context,3.0.1.RELEASE,,2.13.3,directDependency
cn.tenmg,flink-jobs-launcher,1.0.2,,2.14.1,directDependency
cn.tenmg,sparktool,1.0.0,,2.14.0,directDependency
cn.tenmg,sqltool,1.2.3,,2.14.0,directDependency
cn.tenmg,sqltool,1.3.1,,2.14.0,directDependency
cn.tenmg,sparktool,1.0.2,,2.14.0,directDependency
cn.tenmg,flink-jobs-launcher,1.1.0,,2.14.1,directDependency
cn.tenmg,sqltool,1.2.4,,2.14.0,directDependency
cn.tenmg,flink-jobs-launcher,1.1.1,,2.14.1,directDependency
cn.tenmg,flink-jobs-launcher,1.0.1,,2.14.1,directDependency
cn.tenmg,sqltool,1.3.2,,2.14.0,directDependency
cn.tenmg,sparktool,1.0.1,,2.14.0,directDependency
cn.tenmg,sqltool,1.3.0,,2.14.0,directDependency
cn.topviewclub,topview-utils,2.2,,2.13.0,directDependency
cn.topviewclub,topview-utils,2.3,,2.13.0,directDependency
cn.xphsc,elasticsearch-rest-plus,1.1.0-RC,,2.14.1,directDependency
cn.xphsc,elasticsearch-rest-plus,1.0.2,,2.9.1,directDependency
cn.zhuoluodada.opensource,smartdb,1.2.0,,2.5,directDependency
co.elastic.apm,apm-agent-attach-cli,1.24.0,slim,2.12.1,rebundledDependency
co.elastic.apm,apm-agent-attach-cli,1.23.0,,2.12.1,directDependency
co.elastic.apm,apm-agent-attach-cli,1.24.0,,2.12.1,directDependency
co.elastic.apm,apm-agent-attach-cli,1.25.0,,2.12.1,directDependency
co.elastic.logging,log4j2-ecs-layout,0.5.0,,2.12.0,directDependency
co.elastic.logging,log4j2-ecs-layout,1.0.1,,2.14.0,directDependency
co.elastic.logging,log4j2-ecs-layout,1.1.0,,2.14.0,directDependency
co.elastic.logging,log4j2-ecs-layout,1.0.0,,2.14.0,directDependency
co.elastic.logging,log4j2-ecs-layout,0.4.0,,2.12.0,directDependency
co.elastic.logging,log4j2-ecs-layout,0.5.1,,2.12.0,directDependency
co.elastic.logging,log4j2-ecs-layout,1.0.0.RC1,,2.14.0,directDependency
co.elastic.logging,log4j2-ecs-layout,0.5.2,,2.12.0,directDependency
co.elastic.support,diagnostics,8.2.0,,2.13.2,directDependency
co.paralleluniverse,comsat-tomcat-loader,0.1.1,jdk8,2.0-rc1,rebundledDependency
co.paralleluniverse,capsule-shield,0.2.0,,2.4,rebundledDependency
co.paralleluniverse,comsat-tomcat-loader,0.1.1,jdk8,2.0-beta9,rebundledDependency
co.tamara,java-sdk,1.0.7,,2.11.2,directDependency
co.tamara,java-sdk,1.0.4,,2.11.2,directDependency
co.tamara,java-sdk,1.1.2,,2.11.2,directDependency
co.tamara,java-sdk,1.0.9,,2.11.2,directDependency
co.tamara,java-sdk,1.0.8,,2.11.2,directDependency
co.tamara,java-sdk,1.0.6,,2.11.2,directDependency
co.tamara,java-sdk,1.1.3,,2.11.2,directDependency
co.tamara,java-sdk,1.1.0,,2.11.2,directDependency
co.tamara,java-sdk,1.1.1,,2.11.2,directDependency
co.tamara,java-sdk,1.0.5,,2.11.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-5-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.3.0-alpha-0814-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,2.5.4,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.3-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.3-beta1-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.3.0-alpha-0814,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1-beta1-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-4-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-5,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-5-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.4,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.3-beta1,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.0-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.0,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.3-beta1-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-4,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,2.5.4-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-pre-4-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.0-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.5-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.3.0-0813-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.0-llvm,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.4-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.3-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1-beta1-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.3.0-0813,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1-allinone,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.2.1-beta1,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.4-macos,,2.13.2,directDependency
com.4paradigm.hybridse,hybridse-native,0.1.3,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-native,2.3.0-macos,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-native,2.2.0-allinone,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-native,2.2.2-macos,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-native,2.2.2,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-jdbc,2.2.0-allinone,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-jdbc,2.2.2,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-jdbc,2.2.2-macos,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-jdbc,2.3.0-macos,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-jdbc,2.3.0,,2.13.2,directDependency
com.4paradigm.hybridsql,fedb-native,2.3.0,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre-5,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.2,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre-4,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0-pre-1,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre-2,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre-4,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre-3,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre-1,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0-pre,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre-2,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.2,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0-pre,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre-1,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.1.5-pre-5,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0-pre-1,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0-pre-2-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0-pre-2-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0-pre-1-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0-pre-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.1.5-pre-3,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0-pre-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-jdbc,0.2.0-pre-1-macos,,2.13.2,directDependency
com.4paradigm.openmldb,openmldb-native,0.2.0,,2.13.2,directDependency
com.accenture.atom,library-common,0.0.1,,2.9.0,directDependency
com.accenture.atom,library-reporting-extent,0.0.1,,2.9.0,directDependency
com.aconex.scrutineer,scrutineer,6.8.13-1,,2.13.3,directDependency
com.aconex.scrutineer,scrutineer,7.9.3,,2.14.0,directDependency
com.aconex.scrutineer,scrutineer,6.8.13,,2.13.3,directDependency
com.actigence,resttemplate-request-logger,1.0.0,,2.13.2,directDependency
com.actigence,api-access-tracker-java-client,0.0.1,,2.13.2,directDependency
com.adelegue,elastic-scala-http_2.12,0.0.16-BETA1,,2.8.2,directDependency
com.adelegue,elastic-scala-http_2.13,0.0.16-BETA1,,2.8.2,directDependency
com.adelegue,elastic-scala-http_2.13,1.0.0,,2.8.2,directDependency
com.adelegue,elastic-scala-http_2.12,1.0.0,,2.8.2,directDependency
com.adobe.campaign.tests,log-parser,1.0.1,,2.13.2,directDependency
com.adobe.campaign.tests,log-parser,1.0.3,,2.13.2,directDependency
com.adobe.campaign.tests,log-parser,1.0.4,,2.13.2,directDependency
com.adobe.qe,toughday2,0.2.1,,2.4.1,directDependency
com.adobe.qe,toughday2-api,0.9.2,,2.8.2,directDependency
com.adsoul,redjob,0.12.1,,2.14.0,directDependency
com.adsoul,redjob,0.12.0,,2.14.0,directDependency
com.adsoul,redjob,0.13.6,,2.14.1,directDependency
com.adsoul,redjob,0.11.9,,2.13.3,directDependency
com.adtsw,jdatalayer,1.0.0,bin,2.13.3,rebundledDependency
com.adtsw,jchannels,1.0.16,,2.13.3,directDependency
com.adtsw,jcommons,1.0.1,,2.13.3,directDependency
com.aegisql,java-path,0.1.2,,2.13.1,directDependency
com.aegisql,java-path,0.2.2,,2.13.1,directDependency
